drug_name,section_name,subsection_name,gpt4_output
ONFI,adverse reactions,6 ADVERSE REACTIONS,"Somnolence, Sedation, Potentiation of Sedation, Withdrawal Symptoms, Serious Dermatological Reactions, Physical and Psychological Dependence, Suicidal Behavior and Ideation, Constipation, Pyrexia, Lethargy, Drooling"
ONFI,adverse reactions,6.1 Clinical Trials Experience,"lethargy, somnolence, ataxia, aggression, fatigue, insomnia"
ONFI,adverse reactions,"Table 3. Adverse Reactions Reported for >=5% of Patients and More Frequently than Placebo in Any Treatment Group a Maximum daily dose of 5 mg for <=30 kg body weight; 10 mg for >30 kg body weight b Maximum daily dose of 10 mg for <=30 kg body weight; 20 mg for >30 kg body weight c Maximum daily dose of 20 mg for <=30 kg body weight; 40 mg for >30 kg body weight Placebo N=59 % ONFI Dose Level All ONFI N=179 % Low a N=58 % Medium b N=62 % High c N=59 % Gastrointestinal Disorders Vomiting 5 9 5 7 7 Constipation 0 2 2 10 5 Dysphagia 0 0 0 5 2 General Disorders and Administration Site Conditions Pyrexia 3 17 10 12 13 Irritability 5 3 11 5 7 Fatigue 2 5 5 3 5 Infections and Infestations Upper respiratory tract infection 10 10 13 14 12 Pneumonia 2 3 3 7 4 Urinary tract infection 0 2 5 5 4 Bronchitis 0 2 0 5 2 Metabolism and Nutrition Disorders Decreased appetite 3 3 0 7 3 Increased appetite 0 2 3 5 3 Nervous System Disorders Somnolence or Sedation 15 17 27 32 26 Somnolence 12 16 24 25 22 Sedation 3 2 3 9 5 Lethargy 5 10 5 15 10 Drooling 3 0 13 14 9 Ataxia 3 3 2 10 5 Psychomotor hyperactivity 3 3 3 5 4 Dysarthria 0 2 2 5 3 Psychiatric Disorders Aggression 5 3 8 14 8 Insomnia 2 2 5 7 5 Respiratory Disorders Cough 0 3 5 7 5 6.2 Post Marketing Experience These reactions are reported voluntarily from a population of uncertain size; therefore, it is not possible to estimate their frequency or establish a causal relationship to drug exposure. Adverse reactions are categorized by system organ class.","Anemia, eosinophilia, leukopenia, thrombocytopenia, Diplopia, vision blurred, Abdominal distention, Hypothermia, Hepatic enzyme increased, Muscle spasms, Agitation, anxiety, apathy, confusional state, depression, delirium, delusion, hallucination, Urinary retention, Aspiration, respiratory depression, Rash, urticaria, angioedema, facial and lip edema"
ONFI,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"Somnolence, Sedation, CNS depression, Withdrawal, Symptoms, Serious Dermatological Reactions, Stevens-Johnson syndrome, toxic epidermal necrolysis, Physical and Psychological Dependence, habituation, dependence, Suicidal Behavior, Ideation"
ONFI,warnings and precautions,5.1 Somnolence or Sedation,"somnolence, sedation"
ONFI,warnings and precautions,5.2 Potentiation of Sedation from Concomitant Use with Central Nervous System Depressants,"central nervous system (CNS) depressant effect, simultaneous use with other CNS depressant drugs or alcohol, potentiated."
ONFI,warnings and precautions,5.3 Withdrawal Symptoms,"withdrawal symptoms, seizures, seizure exacerbation, status epilepticus, convulsions, psychosis, hallucinations, behavioral disorder, tremor, anxiety, dysphoria, insomnia"
ONFI,warnings and precautions,5.4 Serious Dermatological Reactions,"Serious skin reactions, Stevens-Johnson syndrome (SJS), toxic epidermal necrolysis (TEN), rash"
ONFI,warnings and precautions,5.5 Physical and Psychological Dependence,"substance abuse, habituation, dependence"
ONFI,warnings and precautions,5.6 Suicidal Behavior and Ideation,"suicidal thoughts, behavior, depression, worsening of depression, unusual changes in mood, suicidal thinking, suicidal ideation, suicidal behavior, incidence rate of suicidal behavior, incidence rate of suicidal ideation, suicides, increased risk of suicidal thoughts, increased risk of suicidal behavior."
COMETRIQ,adverse reactions,6 ADVERSE REACTIONS,"Perforations, Fistula, Hemorrhage, Thromboembolic Events, Wound Complications, Hypertension, Osteonecrosis of the Jaw, Palmar-plantar erythrodysesthesia syndrome, Proteinuria, Reversible Posterior Leukoencephalopathy Syndrome, diarrhea, stomatitis, decreased weight, decreased appetite, nausea, fatigue, oral pain, hair color changes, dysgeusia, abdominal pain, constipation, lymphopenia, neutropenia, thrombocytopenia, hypocalcemia, hypophosphatemia, hyperbilirubinemia"
COMETRIQ,adverse reactions,6.1 Clinical Trial Experience,"diarrhea, stomatitis, palmar-plantar erythrodysesthesia syndrome, decreased weight, decreased appetite, nausea, fatigue, oral pain, hair color changes, dysgeusia, hypertension, abdominal pain, constipation, increased AST, increased ALT, lymphopenia, increased ALP, hypocalcemia, neutropenia, thrombocytopenia, hypophosphatemia, hyperbilirubinemia, asthenia, hemorrhage, pneumonia, septicemia, fistulas, cardiac arrest, respiratory failure, unspecified death, hypocalcemia, increased lipase, pancreatitis, tracheal fistula formation, vomiting, increased levels of thyroid stimulating hormone (TSH)."
COMETRIQ,adverse reactions,"Table 1 Per-Patient Incidence of Selected Adverse Reactions in Protocol XL184-301 Occurring at a Higher Incidence in COMETRIQ-Treated Patients [Between Arm Difference of >= 5% (All Grades)National Cancer Institute Common Terminology Criteria for Adverse Events Version 3.0 or >= 2% (Grades 3-4)] MedDRA System Organ Class/Preferred Terms COMETRIQ(n=214) Placebo(n=109) AllGrades Grades3-4 AllGrades Grades3-4 GASTROINTESTINAL DISORDERS Diarrhea 63 16 33 2 Stomatitis 51 5 6 0 Nausea 43 1 21 0 Oral pain 36 2 6 0 Constipation 27 0 6 0 Abdominal pain 27 3 13 1 Vomiting 24 2 2 1 Dysphagia 13 4 6 1 Dyspepsia 11 0 0 0 Hemorrhoids 9 0 3 0 GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS Fatigue 41 9 28 3 Asthenia 21 6 15 1 INVESTIGATIONS Decreased weight 48 5 10 0 METABOLISM AND NUTRITION DISORDERS Decreased appetite 46 5 16 1 Dehydration 7 2 2 1 MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS Arthralgia 14 1 7 0 Muscle spasms 12 0 5 0 Musculoskeletal chest pain 9 1 4 0 NERVOUS SYSTEM DISORDERS Dysgeusia 34 0 6 0 Headache 18 0 8 0 Dizziness 14 0 7 0 Paresthesia 7 0 2 0 Peripheral sensory neuropathy 7 0 0 0 Peripheral neuropathy 5 0 0 0 PSYCHIATRIC DISORDERS Anxiety 9 0 2 0 RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS Dysphonia 20 0 9 0 SKIN AND SUBCUTANEOUS TISSUE DISORDERS PPES 50 13 2 0 Hair color changes/ depigmentation, graying 34 0 1 0 Rash 19 1 10 0 Dry skin 19 0 3 0 Alopecia 16 0 2 0 Erythema 11 1 2 0 Hyperkeratosis 7 0 0 0 VASCULAR DISORDERS Hypertension 33 8 4 0 Hypotension 7 1 0 0 Table 2 Percent-Patient Incidence of Laboratory Abnormalities Occurring at a Higher Incidence in COMETRIQ-Treated Patients in Protocol XL184-301 [Between Arm Difference of >= 5% (All Grades) or >= 2% (Grades 3-4)] Adverse Event COMETRIQ(n=214) Placebo(N=109) AllGrades Grade3-4 AllGrades Grade3-4 Chemistries Increased AST 86 3 35 2 Increased ALT 86 6 41 2 Increased ALP 52 3 35 3 Hypocalcemia 52 12 27 3 Hypophosphatemia 28 3 10 1 Hyperbilirubinemia 25 2 14 5 Hypomagnesemia 19 1 4 0 Hypokalemia 18 4 9 3 Hyponatremia 10 2 5 0 Hematologic Lymphopenia 53 16 51 11 Neutropenia 35 3 15 2 Thrombocytopenia 35 0 4 3 ALT, alanine aminotransferase; ALP, alkaline phosphatase; AST, aspartate aminotransferase Nearly all COMETRIQ-treated patients (96% vs. 84% placebo) experienced elevated blood pressure and there was a doubling in the incidence of overt hypertension in COMETRIQ-treated patients over placebo-treated patients (61% vs. 30%) according to modified Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC) staging criteria. No patients developed malignant hypertension.","If the input you've provided is ""nan,"" which typically stands for ""not a number,"" or in this context may mean ""not applicable"" or ""non-existent,"" then there are no adverse drug event terms to extract. If you have an actual excerpt of a drug label that you would like me to analyze, please provide the text, and I can help identify any adverse drug event terms."
COMETRIQ,adverse reactions,"Table 3 Per-Patient Incidence of Hypertension in Protocol XL184-301 Hypertension, JNCStage COMETRIQN=211(%) PlaceboN=107(%) Normal: Grade 0: Systolic < 120 mmHg and Diastolic < 80 mmHg 4 15 Pre-hypertension: Systolic >= 120 mmHg or Diastolic >= 80 mmHg 34 54 Stage 1: Systolic >= 140 mmHg or Diastolic >= 90 mmHg 46 25 Stage 2: Systolic >= 160 mmHg or Diastolic >= 100 mmHg 15 5 Malignant: Diastolic >= 120 mmHg 0 0","The input ""nan"" suggests that there is no excerpt provided or possibly denotes a 'not applicable' or missing value. Since there's no excerpt of a drug label to analyze, I cannot provide a list of adverse drug event terms. If you provide a specific excerpt from a drug label, I would be able to identify the adverse drug events included in that text."
COMETRIQ,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"myocardial infarction, cerebral infarction, arterial thromboembolic events, dehiscence, complications requiring medical intervention, hypertensive crisis, osteonecrosis of the jaw, palmar-plantar erythrodysesthesia syndrome (PPES), proteinuria, nephrotic syndrome, reversible posterior leukoencephalopathy syndrome (RPLS), embryofetal toxicity"
COMETRIQ,warnings and precautions,5.1 Perforations and Fistulas,"Gastrointestinal (GI) perforations, fistulas, serious, fatal, Non-GI fistulas, tracheal/esophageal, symptoms of perforations and fistulas."
COMETRIQ,warnings and precautions,5.2 Hemorrhage,"fatal hemorrhage, Grade >=3 hemorrhagic events, hemorrhage, hemoptysis"
COMETRIQ,warnings and precautions,5.3 Thrombotic Events,"increased incidence of thrombotic events, venous thromboembolism, arterial thromboembolism, acute myocardial infarction, arterial thromboembolic complication"
COMETRIQ,warnings and precautions,5.4 Wound Complications,"Wound complications, dehiscence, wound healing complications requiring medical intervention"
COMETRIQ,warnings and precautions,5.5 Hypertension,"treatment-emergent hypertension, stage 1 or 2 hypertension, severe hypertension"
COMETRIQ,warnings and precautions,5.6 Osteonecrosis of the Jaw,"Osteonecrosis of the jaw, jaw pain, osteomyelitis, osteitis, bone erosion, tooth or periodontal infection, toothache, gingival ulceration, erosion, persistent jaw pain, slow healing of the mouth or jaw"
COMETRIQ,warnings and precautions,5.7 Palmar-Plantar Erythrodysesthesia Syndrome,"Palmar-plantar erythrodysesthesia syndrome, severe, withhold COMETRIQ, intolerable Grade 2 PPES, Grade 3-4 PPES, improvement to Grade 1, resume at a reduced dose"
COMETRIQ,warnings and precautions,5.8 Proteinuria,"Proteinuria, nephrotic syndrome"
COMETRIQ,warnings and precautions,5.9 Reversible Posterior Leukoencephalopathy Syndrome,"Reversible Posterior Leukoencephalopathy Syndrome (RPLS), seizures, headache, visual disturbances, confusion, altered mental function"
COMETRIQ,warnings and precautions,5.10 Drug Interactions,"CYP3A4 inducers, CYP3A4 inhibitors"
COMETRIQ,warnings and precautions,5.11 Hepatic Impairment,"moderate hepatic impairment, severe hepatic impairment"
COMETRIQ,warnings and precautions,5.12 Embryo-fetal Toxicity,"fetal harm, embryolethal, increased incidences of skeletal variations, visceral variations, malformations"
NULOJIX,adverse reactions,6 ADVERSE REACTIONS,"PTLD, CNS PTLD, malignancies, serious infections, JC virus-associated PML, polyoma virus nephropathy, anemia, diarrhea, urinary tract infection, peripheral edema, constipation, hypertension, pyrexia, graft dysfunction, cough, nausea, vomiting, headache, hypokalemia, hyperkalemia, leukopenia"
NULOJIX,adverse reactions,6.1 Clinical Studies Experience,"anemia, diarrhea, urinary tract infection, peripheral edema, constipation, hypertension, pyrexia, graft dysfunction, cough, nausea, vomiting, headache, hypokalemia, hyperkalemia, leukopenia, cytomegalovirus infection, complications of transplanted kidney, Post-Transplant Lymphoproliferative Disorder (PTLD), CNS involvement."
NULOJIX,adverse reactions,"Table 2: Summary of PTLD Reported in Studies 1, 2, and 3 Through Three Years of Treatment NULOJIX Non-Recommended Regimen* (N=477) NULOJIX Recommended Regimen (N=472) Cyclosporine (N=476) Trial EBV Positive (n=406) EBV Negative (n=43) EBV Unknown (n=28) EBV Positive (n=404) EBV Negative (n=48) EBV Unknown (n=20) EBV Positive (n=399) EBV Negative (n=57) EBV Unknown (n=20) * Regimen with higher cumulative dose and more frequent dosing than the recommended NULOJIX regimen. In Studies 1 and 2 the NULOJIX regimen is identical to the recommended regimen, but is slightly different in Study 3. Study 1 CNS PTLD 1 1 Non-CNSPTLD 1 2 1 Study 2 CNS PTLD 1 1 1 1 Non-CNSPTLD 1 Study 3 CNS PTLD 2 Non-CNSPTLD 1 Total (%) 2 (0.5) 5 (11.6) 1 (3.6) 3 (0.7) 2 (4.1) 0 0 1 (1.8) 0 EBV Seropositive Subpopulation Among the 806 EBV seropositive patients with known CMV serostatus treated with either NULOJIX regimen in Studies 1, 2, and 3, two percent (2%; 4/210) of CMV seronegative patients developed PTLD compared to 0.2% (1/596) of CMV seropositive patients. Among the 404 EBV seropositive recipients treated with the recommended dosage regimen of NULOJIX, three PTLD cases were detected among 99 CMV seronegative patients (3%) and there was no case detected among 303 CMV seropositive patients. The clinical significance of CMV serology as a risk factor for PTLD remains to be determined; however, these findings should be considered when prescribing NULOJIX [see Warnings and Precautions (5.1) ].","Malignancies, non-melanoma skin cancer, Progressive Multifocal Leukoencephalopathy (PML), Bacterial infections, Mycobacterial infections, Viral infections, Fungal infections, Tuberculosis, Herpes infections"
NULOJIX,adverse reactions,"Table 3: Overall Infections and Select Infections with Identified Etiology by Treatment Group following One and Three Years of Treatment in Studies 1 and 2* Up to Year 1 Up to Year 3 NULOJIX Recommended Regimen N=401 n (%) Cyclosporine N=405 n (%) NULOJIX Recommended Regimen N=401 n (%) Cyclosporine N=405 n (%) * Studies 1 and 2 were not designed to support comparative claims for NULOJIX for the adverse reactions reported in this table. Median exposure in days for pooled studies: 1203 for NULOJIX recommended regimen and 1163 for cyclosporine in Studies 1 and 2. ? All infections include bacterial, viral, fungal, and other organisms. For infectious adverse reactions, the causative organism is reported if specified by the physician in the clinical trials. S A medically important event that may be life-threatening or result in death or hospitalization or prolongation of existing hospitalization. Infections not meeting these criteria are considered non-serious. BK virus-associated nephropathy was reported in 6 NULOJIX patients (4 of which resulted in graft loss) and 6 cyclosporine patients (none of which resulted in graft loss) by Year 3. # Most herpes infections were non-serious and 1 led to treatment discontinuation. All infections? 287 (72) 299 (74) 329 (82) 327 (81) Serious infectionsS 98 (24) 113 (28) 144 (36) 157 (39) CMV 44 (11) 52 (13) 53 (13) 56 (14) Polyoma virus 10 (3) 23 (6) 17 (4) 27 (7) Herpes# 27 (7) 26 (6) 55 (14) 46 (11) Tuberculosis 2 (1) 1 (<1) 6 (2) 1 (<1) Infections Reported in the CNS Following three years of treatment in Studies 1 and 2, cryptococcal meningitis was reported in one patient out of 401 patients treated with the NULOJIX recommended regimen (0.2%) and one patient out of the 405 treated with the cyclosporine control (0.2%).","CNS infections, cryptococcal meningitis, Chagas encephalitis, cerebral aspergillosis, West Nile encephalitis, PML, anaphylaxis, drug hypersensitivity, infusion-related reactions, hypotension, hypertension, proteinuria, anti-belatacept antibodies, neutralizing antibodies, new-onset diabetes after transplantation (NODAT), dyslipidemia."
NULOJIX,adverse reactions,"Table 4: Adverse Reactions Reported by >=10% of Patients Treated with Either the NULOJIX Recommended Regimen or Control in Studies 1 and 2 Through Three Years*, Adverse Reaction NULOJIX Recommended Regimen N=401 % Cyclosporine N=405 % * All randomized and transplanted patients in Studies 1 and 2. Studies 1 and 2 were not designed to support comparative claims for NULOJIX for the adverse reactions reported in this table. Infections and Infestations Urinary tract infection 37 36 Upper respiratory infection 15 16 Nasopharyngitis 13 16 Cytomegalovirus infection 12 12 Influenza 11 8 Bronchitis 10 7 Gastrointestinal Disorders Diarrhea 39 36 Constipation 33 35 Nausea 24 27 Vomiting 22 20 Abdominal pain 19 16 Abdominal pain upper 9 10 Metabolism and Nutrition Disorders Hyperkalemia 20 20 Hypokalemia 21 14 Hypophosphatemia 19 13 Dyslipidemia 19 24 Hyperglycemia 16 17 Hypocalcemia 13 11 Hypercholesterolemia 11 11 Hypomagnesemia 7 10 Hyperuricemia 5 12 Procedural Complications Graft dysfunction 25 34 General Disorders Peripheral edema 34 42 Pyrexia 28 26 Blood and Lymphatic System Disorders Anemia 45 44 Leukopenia 20 23 Renal and Urinary Disorders Hematuria 16 18 Proteinuria 16 12 Dysuria 11 11 Renal tubular necrosis 9 13 Vascular Disorders Hypertension 32 37 Hypotension 18 12 Respiratory, Thoracic, and Mediastinal Disorders Cough 24 18 Dyspnea 12 15 Investigations Blood creatinine increased 15 20 Musculoskeletal and Connective Tissue Disorders Arthralgia 17 13 Back pain 13 13 Nervous System Disorders Headache 21 18 Dizziness 9 10 Tremor 8 17 Skin and Subcutaneous Tissue Disorders Acne 8 11 Psychiatric Disorders Insomnia 15 18 Anxiety 10 11 Selected adverse reactions occurring in <10% from NULOJIX-treated patients in either regimen through three years in Studies 1 and 2 are listed below:","Guillain-Barre syndrome, stomatitis, aphthous stomatitis, chronic allograft nephropathy, wound dehiscence, arteriovenous fistula thrombosis, neutropenia, renal impairment, acute renal failure, renal artery stenosis, urinary incontinence, hydronephrosis, hematoma, lymphocele, musculoskeletal pain, alopecia, hyperhidrosis, atrial fibrillation"
NULOJIX,boxed warnings,"BOXED WARNING: WARNING: POST-TRANSPLANT LYMPHOPROLIFERATIVE DISORDER, OTHER MALIGNANCIES, AND SERIOUS INFECTIONS","As there is no text provided (the input is ""nan""), it's not possible to extract any adverse drug event terms. If you provide an excerpt of a drug label, I could then identify the adverse drug event terms for you."
NULOJIX,boxed warnings,"WARNING: POST-TRANSPLANT LYMPHOPROLIFERATIVE DISORDER, OTHER MALIGNANCIES, AND SERIOUS INFECTIONS","post-transplant lymphoproliferative disorder, central nervous system involvement, Increased susceptibility to infection, development of malignancies, increased risk of graft loss, death"
NULOJIX,boxed warnings,"EXCERPT: WARNING: POST-TRANSPLANT LYMPHOPROLIFERATIVE DISORDER, OTHER MALIGNANCIES, AND SERIOUS INFECTIONS","post-transplant lymphoproliferative disorder (PTLD), central nervous system (CNS) involvement, increased susceptibility to infection, development of malignancies, graft loss, death"
NULOJIX,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"Post-Transplant Lymphoproliferative Disorder, new or worsening neurological signs and symptoms, cognitive signs and symptoms, behavioral signs and symptoms, Other malignancies, Progressive Multifocal Leukoencephalopathy, bacterial infections, viral infections, fungal infections, protozoal infections, opportunistic infections, tuberculosis, Polyoma virus-associated nephropathy, kidney graft loss, Cytomegalovirus, pneumocystis, Acute Rejection, Graft Loss, live vaccines."
NULOJIX,warnings and precautions,5.1 Post-Transplant Lymphoproliferative Disorder,"post-transplant lymphoproliferative disorder (PTLD), neurological, cognitive, behavioral signs or symptoms, cytomegalovirus (CMV) infection, CMV disease"
NULOJIX,warnings and precautions,5.2 Management of Immunosuppression,"The input provided does not contain any specific adverse drug event terms. It pertains to guidelines on who should prescribe the medication and under what conditions it should be administered, without mentioning any specific adverse events or side effects."
NULOJIX,warnings and precautions,5.3 Other Malignancies,"immunosuppressants, increased risk, malignancies, PTLD, skin, Exposure to sunlight, ultraviolet (UV) light, protective clothing, sunscreen, high protection factor"
NULOJIX,warnings and precautions,5.4 Progressive Multifocal Leukoencephalopathy,"Progressive multifocal leukoencephalopathy (PML), fatal opportunistic infection, rapidly progressive, neurological signs, cognitive signs, behavioral signs, brain imaging, cerebrospinal fluid (CSF) testing, brain biopsy"
NULOJIX,warnings and precautions,5.5 Other Serious Infections,"bacterial infections, viral infections, cytomegalovirus (CMV), herpes, fungal infections, protozoal infections, opportunistic infections, serious outcomes, fatal outcomes, Tuberculosis, Polyoma Virus Nephropathy, BK virus infection, deteriorating renal function, kidney graft loss"
NULOJIX,warnings and precautions,5.6 Liver Transplant,"graft loss, death, PTLD (Post-transplant lymphoproliferative disorder), PML (Progressive multifocal leukoencephalopathy)"
NULOJIX,warnings and precautions,5.7 Acute Rejection and Graft Loss with Corticosteroid Minimization,"acute rejection, Grade III rejection, graft loss"
NULOJIX,warnings and precautions,5.8 Immunizations,"intranasal influenza, measles, mumps, rubella, oral polio, BCG, yellow fever, varicella, TY21a typhoid vaccines"
GILOTRIF,adverse reactions,6 ADVERSE REACTIONS,"Diarrhea, Bullous and Exfoliative Skin Disorders, Interstitial Lung Disease, Hepatic Toxicity, Keratitis, rash/dermatitis acneiform, stomatitis, paronychia, dry skin, decreased appetite, nausea, vomiting, pruritus"
GILOTRIF,adverse reactions,6.1 Clinical Trials Experience,"adverse reaction rates, adverse reactions, Serious adverse reactions, diarrhea, vomiting, dyspnea, fatigue, hypokalemia, Fatal adverse reactions, pulmonary toxicity/ILD-like adverse reactions, sepsis, pneumonia, Dose reductions, dose reduction, discontinuation of therapy, Diarrhea, ILD, paronychia, ventricular dysfunction, diastolic dysfunction, left ventricular dysfunction, ventricular dilation"
GILOTRIF,adverse reactions,Table 1 Adverse Reactions Reported in >=10% of GILOTRIF-Treated Patients in Study 1,"stomatitis, aphthous stomatitis, mucosal inflammation, mouth ulceration, oral mucosa erosion, mucosal erosion, mucosal ulceration, rash, acne, acne pustular, dermatitis acneiform, paronychia, nail infection, nail bed infection, Diarrhea, Nausea, Vomiting, Cheilitis, Rash/Dermatitis acneiform, Pruritus, Dry skin, Paronychia, Cystitis, Decreased appetite, Epistaxis, Rhinorrhea, Weight Decreased, Pyrexia, Conjunctivitis, Alanine aminotransferase increased, Hypokalemia, Aspartate aminotransferase increased, Pancreatitis"
GILOTRIF,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"diarrhea, dehydration, renal failure, bullous, blistering, exfoliative skin disorders, interstitial lung disease (ILD), hepatic toxicity, fatal hepatic impairment, keratitis, ulcerative keratitis, embryofetal toxicity, renal impairment"
GILOTRIF,warnings and precautions,5.2 Bullous and Exfoliative Skin Disorders,"cutaneous reactions, bullous, blistering, exfoliating lesions, rash, erythema, acneiform rash, Grade 3 cutaneous reactions, palmar-plantar erythrodysesthesia syndrome"
GILOTRIF,warnings and precautions,5.3 Interstitial Lung Disease (ILD),"lung infiltration, pneumonitis, acute respiratory distress syndrome, alveolitis allergic"
GILOTRIF,warnings and precautions,5.4 Hepatic Toxicity,"liver test abnormalities, fatal, worsening of liver function, severe hepatic impairment"
GILOTRIF,warnings and precautions,5.5 Keratitis,"acute or worsening eye inflammation, lacrimation, light sensitivity, blurred vision, eye pain, red eye, Grade 3 keratitis, ulcerative keratitis, severe dry eye"
GILOTRIF,warnings and precautions,5.6 Embryofetal Toxicity,"fetal harm, embryotoxic, abortions, maternal toxicity"
DATSCAN,adverse reactions,6 ADVERSE REACTIONS,"hypersensitivity, injection site reactions, headache, nausea, vertigo, dry mouth, dizziness"
DATSCAN,adverse reactions,6.1 Clinical Study Experience,"headache, nausea, vertigo, dry mouth, dizziness"
DATSCAN,adverse reactions,6.2 Postmarketing Experience,"hypersensitivity reactions, rash, pruritis, injection site pain"
DATSCAN,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"hypersensitivity reactions, anaphylactic"
DATSCAN,warnings and precautions,5.1 Hypersensitivity Reactions,"hypersensitivity reactions, skin erythema, pruritis, anaphylactic"
DATSCAN,warnings and precautions,5.2 Thyroid Accumulation,"free iodide, thyroid accumulation, sensitive, increased long term risk, thyroid neoplasia"
KALBITOR,adverse reactions,6 ADVERSE REACTIONS,"hypersensitivity reactions, anaphylaxis, headache, nausea, diarrhea, pyrexia, injection site reactions, nasopharyngitis"
KALBITOR,adverse reactions,6.1 Clinical Trials Experience,"headache, nausea, fatigue, diarrhea, upper respiratory tract infection, injection site reactions, nasopharyngitis, vomiting, pruritus, upper abdominal pain, pyrexia, anaphylaxis, local pruritus, erythema, pain, irritation, urticaria, bruising"
KALBITOR,adverse reactions,"Table 1: Adverse Reactions Occurring at >=3% and Higher than Placebo in 2 Placebo Controlled Clinical Trials in Patients with HAE Treated with KALBITOR a Patients experiencing more than 1 event with the same preferred term are counted only once for that preferred term. KALIBITORN=100 PlaceboN=81 Adverse Reactions n (%) a n (%) a Headache 8 (8%) 6 (7%) Nausea 5 (5%) 1 (1%) Diarrhea 4 (4%) 3 (4%) Pyrexia 4 (4%) 0 Injection site reactions 3 (3%) 1 (1%) Nasopharyngitis 3 (3%) 0 Some patients in EDEMA3 and EDEMA4 received a second, open-label 30 mg subcutaneous dose of KALBITOR within 24 hours following the initial dose. Adverse reactions reported by these patients who received the additional 30 mg subcutaneous dose of KALBITOR were consistent with those reported in the patients receiving a single dose.","As the provided input is ""nan"", which usually stands for ""not a number"" or indicates that the actual input is missing or not applicable, it is not possible to identify any adverse drug event terms from this input. If you provide an actual excerpt from a drug label, I can assist you in identifying the adverse drug event terms."
KALBITOR,adverse reactions,6.2 Immunogenicity,"antibodies to KALBITOR, seroconversion, seroconverted to anti-ecallantide antibodies, Neutralizing antibodies, loss of efficacy, Anti-ecallantide IgE antibodies, anti-P. pastoris IgE antibodies, hypersensitivity reaction, immunogenicity"
KALBITOR,adverse reactions,6.3 Postmarketing Experience,"adverse reactions, events"
KALBITOR,boxed warnings,BOXED WARNING: WARNING: ANAPHYLAXIS,"If the input provided is ""nan,"" which generally refers to ""not a number,"" there's no actual text to examine for adverse drug event terms. Therefore, I cannot provide a list of terms from the given input. If you can provide an actual excerpt from a drug label, I would then be able to identify the adverse drug event terms for you."
KALBITOR,boxed warnings,WARNING: ANAPHYLAXIS,"Anaphylaxis, hypersensitivity reactions"
KALBITOR,boxed warnings,EXCERPT: WARNING: ANAPHYLAXIS,"anaphylaxis, hypersensitivity reactions"
KALBITOR,warnings and precautions,5 WARNINGS AND PRECAUTIONS,"Hypersensitivity Reactions, Anaphylaxis, hypersensitivity symptoms"
KALBITOR,warnings and precautions,"5.1 Hypersensitivity Reactions, Including Anaphylaxis","hypersensitivity reactions, anaphylaxis, chest discomfort, flushing, pharyngeal edema, pruritus, rhinorrhea, sneezing, nasal congestion, throat irritation, urticaria, wheezing, hypotension, rash"
APTIOM,adverse reactions,6 ADVERSE REACTIONS,"Suicidal Behavior and Ideation, Serious Dermatologic Reactions, Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS)/Multiorgan Hypersensitivity, Anaphylactic Reactions and Angioedema, Hyponatremia, Neurological Adverse Reactions, Drug Induced Liver Injury, Abnormal Thyroid Function Tests, dizziness, somnolence, nausea, headache, diplopia, vomiting, fatigue, vertigo, ataxia, blurred vision, tremor"
APTIOM,adverse reactions,6.1 Clinical Trials Experience,"hyponatremia, dizziness, nausea, somnolence, fatigue, vomiting, ataxia, diplopia, headache, blurred vision, vertigo, asthenia, rash, dysarthria, tremor"
APTIOM,adverse reactions,Table 3 gives the incidence of adverse reactions that occurred in >=2% of subjects with partial-onset seizures in any APTIOM treatment group and for which the incidence was greater than placebo during the controlled clinical trials. Adverse reactions during titration were less frequent for patients who began therapy at an initial dose of 400 mg for 1 week and then increased to 800 mg compared to patients who initiated therapy at 800 mg.,"Adverse drug event terms would typically include side effects or negative outcomes associated with the use of a medication. However, since you've mentioned that the input is ""nan"", which I interpret as 'not a number' or an indication of missing information, it's not possible to provide a list of adverse drug event terms without an actual excerpt of a drug label.

If you have an excerpt from a drug label that you would like analyzed, please provide the text, and I would be happy to identify any adverse drug event terms for you."
